CurrentTime,index,name,selectROI,Vx,Vy,X,Y,row,col
0.4,4,out-4-V,tile-4,-0.03269104,-0.02311325,0.7359484,0.1220825,1,2
0.4,5,out-5-V,tile-5,0.02321553,-0.2706916,0.00752204,0.5303812,2,2
0.4,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.4,7,out-7-V,tile-7,0.008855201,0.002747228,-0.3340445,-0.1809972,1,3
0.4,8,out-8-V,tile-8,0.2510116,-0.03167829,0.2255941,0.2055778,2,3
0.4,9,out-9-V,tile-9,0.002455559,-0.000530302,0.02073374,0.01835398,3,3
0.433333333333333,1,out-1-V,tile-1,0,0,-0.2518938,-0.2549094,1,1
0.433333333333333,2,out-2-V,tile-2,-0.007321761,0.0001427466,-0.1914317,0.005421262,2,1
0.433333333333333,3,out-3-V,tile-3,-0.0008678143,0.002074079,-0.09259821,0.1243282,3,1
0.433333333333333,4,out-4-V,tile-4,-0.06223233,-0.02302147,0.733874,0.1213152,1,2
0.433333333333333,5,out-5-V,tile-5,0.00615659,-0.02353395,0.00772726,0.5295967,2,2
0.433333333333333,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.433333333333333,7,out-7-V,tile-7,-0.03190424,0.003869165,-0.3351079,-0.1808683,1,3
0.433333333333333,8,out-8-V,tile-8,-0.01148723,0.001312367,0.2252112,0.2056215,2,3
0.433333333333333,9,out-9-V,tile-9,0.05947524,-0.0003185875,0.02271625,0.01834336,3,3
0.466666666666667,1,out-1-V,tile-1,0,0,-0.2518938,-0.2549094,1,1
0.466666666666667,2,out-2-V,tile-2,-0.007457712,0.0001786776,-0.1916803,0.005427218,2,1
0.466666666666667,3,out-3-V,tile-3,0.0009162735,-0.003474375,-0.09256767,0.1242124,3,1
0.466666666666667,4,out-4-V,tile-4,-0.1242489,-0.04898541,0.7297323,0.1196823,1,2
0.466666666666667,5,out-5-V,tile-5,0.01704691,-0.1524596,0.00829549,0.5245147,2,2
0.466666666666667,6,out-6-V,tile-6,3.731716e-06,-6.320901e-06,-0.01358381,0.02264695,3,2
0.466666666666667,7,out-7-V,tile-7,-0.4364778,0.07727138,-0.3496572,-0.1782926,1,3
0.466666666666667,8,out-8-V,tile-8,-0.6392683,-0.06707627,0.2039023,0.2033857,2,3
0.466666666666667,9,out-9-V,tile-9,-0.08011619,-0.001147145,0.02004571,0.01830512,3,3
0.5,1,out-1-V,tile-1,0,0,-0.2518938,-0.2549094,1,1
0.5,2,out-2-V,tile-2,0.001096036,-1.476374e-05,-0.1916438,0.005426726,2,1
0.5,3,out-3-V,tile-3,0,0,-0.09256767,0.1242124,3,1
0.5,4,out-4-V,tile-4,0.0385047,0.02493376,0.7310158,0.1205134,1,2
0.5,5,out-5-V,tile-5,-0.007213051,-0.441792,0.008055056,0.5097883,2,2
0.5,6,out-6-V,tile-6,0,0,-0.01358381,0.02264695,3,2
0.5,7,out-7-V,tile-7,-0.2577088,-0.04829769,-0.3582475,-0.1799025,1,3
0.5,8,out-8-V,tile-8,-1.256909,-0.123729,0.1620053,0.1992614,2,3
0.5,9,out-9-V,tile-9,-0.001295288,0.002869554,0.02000253,0.01840077,3,3
0.533333333333333,1,out-1-V,tile-1,0,0,-0.2518938,-0.2549094,1,1
0.533333333333333,2,out-2-V,tile-2,-0.000755492,7.296837e-06,-0.191669,0.005426969,2,1
0.533333333333333,3,out-3-V,tile-3,0.006566681,-0.02322517,-0.09234878,0.1234382,3,1
0.533333333333333,4,out-4-V,tile-4,-0.05722635,-0.00570933,0.7291083,0.1203231,1,2
0.533333333333333,5,out-5-V,tile-5,0.01024395,0.6574484,0.00839652,0.5317033,2,2
0.533333333333333,6,out-6-V,tile-6,0.002741101,-0.004821362,-0.01349244,0.02248623,3,2
0.533333333333333,7,out-7-V,tile-7,-0.6437466,0.05663064,-0.3797057,-0.1780148,1,3
0.533333333333333,8,out-8-V,tile-8,-1.12511,0.03350253,0.1245016,0.2003781,2,3
0.533333333333333,9,out-9-V,tile-9,-0.07265767,-0.003450657,0.01758061,0.01828575,3,3
0.566666666666667,1,out-1-V,tile-1,-0.006403429,0.0009002741,-0.2521072,-0.2548794,1,1
0.566666666666667,2,out-2-V,tile-2,0,0,-0.191669,0.005426969,2,1
0.566666666666667,3,out-3-V,tile-3,0,0,-0.09234878,0.1234382,3,1
0.566666666666667,4,out-4-V,tile-4,0.03064565,0.009015331,0.7301298,0.1206236,1,2
0.566666666666667,5,out-5-V,tile-5,0.07141909,-0.03912297,0.01077716,0.5303992,2,2
0.566666666666667,6,out-6-V,tile-6,0,0,-0.01349244,0.02248623,3,2
0.566666666666667,7,out-7-V,tile-7,0.3887746,-0.00721271,-0.3667465,-0.1782552,1,3
0.566666666666667,8,out-8-V,tile-8,0.4833852,0.03969481,0.1406145,0.2017013,2,3
0.566666666666667,9,out-9-V,tile-9,0.04770566,0.00708057,0.0191708,0.01852177,3,3
0.6,1,out-1-V,tile-1,7.525614e-05,0.003412212,-0.2521047,-0.2547657,1,1
0.6,2,out-2-V,tile-2,0.0005524278,-2.239984e-05,-0.1916506,0.005426222,2,1
0.6,3,out-3-V,tile-3,0,0,-0.09234878,0.1234382,3,1
0.6,4,out-4-V,tile-4,-0.02465,-0.01975905,0.7293081,0.119965,1,2
0.6,5,out-5-V,tile-5,0.05340347,-0.1405243,0.01255727,0.5257151,2,2
0.6,6,out-6-V,tile-6,0,0,-0.01349244,0.02248623,3,2
0.6,7,out-7-V,tile-7,0.06903987,0.01975657,-0.3644452,-0.1775967,1,3
0.6,8,out-8-V,tile-8,0.3173609,-0.0283062,0.1511932,0.2007577,2,3
0.6,9,out-9-V,tile-9,0.004952947,-0.0002367236,0.0193359,0.01851388,3,3
0.633333333333333,1,out-1-V,tile-1,-0.001967926,-0.002112127,-0.2521703,-0.2548361,1,1
0.633333333333333,2,out-2-V,tile-2,0,0,-0.1916506,0.005426222,2,1
0.633333333333333,3,out-3-V,tile-3,0,0,-0.09234878,0.1234382,3,1
0.633333333333333,4,out-4-V,tile-4,-0.007228143,-0.01772846,0.7290672,0.1193741,1,2
0.633333333333333,5,out-5-V,tile-5,-0.05077106,0.09847478,0.0108649,0.5289975,2,2
0.633333333333333,6,out-6-V,tile-6,0,0,-0.01349244,0.02248623,3,2
0.633333333333333,7,out-7-V,tile-7,0.02864529,-0.02045604,-0.3634903,-0.1782785,1,3
0.633333333333333,8,out-8-V,tile-8,0.1558502,-0.01147808,0.1563882,0.2003751,2,3
0.633333333333333,9,out-9-V,tile-9,0.0210296,0.001116979,0.02003688,0.01855111,3,3
0.666666666666667,1,out-1-V,tile-1,0.0007165861,0.006483957,-0.2521464,-0.25462,1,1
0.666666666666667,2,out-2-V,tile-2,0.01159827,-0.0002552761,-0.191264,0.005417713,2,1
0.666666666666667,3,out-3-V,tile-3,0,0,-0.09234878,0.1234382,3,1
0.666666666666667,4,out-4-V,tile-4,-0.05913251,-0.02667676,0.7270961,0.1184848,1,2
0.666666666666667,5,out-5-V,tile-5,0.05167444,-0.3466224,0.01258738,0.5174435,2,2
0.666666666666667,6,out-6-V,tile-6,0,0,-0.01349244,0.02248623,3,2
0.666666666666667,7,out-7-V,tile-7,0.09854659,-0.03801422,-0.3602055,-0.1795457,1,3
0.666666666666667,8,out-8-V,tile-8,0.07236204,-0.06501614,0.1588002,0.1982079,2,3
0.666666666666667,9,out-9-V,tile-9,0.02561338,-0.0008706515,0.02089066,0.01852209,3,3
0.7,1,out-1-V,tile-1,-5.861319e-06,-0.0001278711,-0.2521466,-0.2546242,1,1
0.7,2,out-2-V,tile-2,-0.0001743286,4.245092e-06,-0.1912698,0.005417855,2,1
0.7,3,out-3-V,tile-3,-0.0002927534,0.0008604219,-0.09235854,0.1234669,3,1
0.7,4,out-4-V,tile-4,0.0141249,0.02121514,0.727567,0.119192,1,2
0.7,5,out-5-V,tile-5,0.006839497,0.06282636,0.01281537,0.5195377,2,2
0.7,6,out-6-V,tile-6,-0.0006729749,0.001126984,-0.01351488,0.0225238,3,2
0.7,7,out-7-V,tile-7,0.2764652,-0.008230644,-0.35099,-0.17982,1,3
0.7,8,out-8-V,tile-8,0.5819736,0.05498451,0.1781994,0.2000407,2,3
0.7,9,out-9-V,tile-9,0.01144035,0.0003033859,0.02127201,0.0185322,3,3
0.733333333333333,1,out-1-V,tile-1,0.00169645,-7.862902e-05,-0.2520901,-0.2546268,1,1
0.733333333333333,2,out-2-V,tile-2,0,0,-0.1912698,0.005417855,2,1
0.733333333333333,3,out-3-V,tile-3,0.0002950246,-0.0008703924,-0.09234871,0.1234379,3,1
0.733333333333333,4,out-4-V,tile-4,0.1446983,0.05160486,0.7323902,0.1209122,1,2
0.733333333333333,5,out-5-V,tile-5,-0.03835894,0.4714319,0.01153674,0.5352521,2,2
0.733333333333333,6,out-6-V,tile-6,0.001240481,-0.002012208,-0.01347353,0.02245673,3,2
0.733333333333333,7,out-7-V,tile-7,0.05653241,0.01996424,-0.3491056,-0.1791545,1,3
0.733333333333333,8,out-8-V,tile-8,-0.1949247,0.1384104,0.1717019,0.2046544,2,3
0.733333333333333,9,out-9-V,tile-9,0.003952598,-0.0008458399,0.02140376,0.01850401,3,3
0.766666666666667,1,out-1-V,tile-1,-8.066415e-07,-0.0002759568,-0.2520901,-0.254636,1,1
0.766666666666667,2,out-2-V,tile-2,0,0,-0.1912698,0.005417855,2,1
0.766666666666667,3,out-3-V,tile-3,-0.005626122,-0.002163029,-0.09253625,0.1233658,3,1
0.766666666666667,4,out-4-V,tile-4,0.08035196,0.02684956,0.7350686,0.1218071,1,2
0.766666666666667,5,out-5-V,tile-5,0.05284344,0.08344243,0.01329818,0.5380335,2,2
0.766666666666667,6,out-6-V,tile-6,0.001366051,-0.002484219,-0.01342799,0.02237392,3,2
0.766666666666667,7,out-7-V,tile-7,0.1567093,-0.02694181,-0.3438819,-0.1800526,1,3
0.766666666666667,8,out-8-V,tile-8,1.019707,0.009534379,0.2056921,0.2049722,2,3
0.766666666666667,9,out-9-V,tile-9,0.01766053,-0.001573542,0.02199244,0.01845155,3,3
0.8,1,out-1-V,tile-1,0.01108433,0.00878243,-0.2517206,-0.2543433,1,1
0.8,2,out-2-V,tile-2,0.008046783,-0.0001593664,-0.1910015,0.005412543,2,1
0.8,3,out-3-V,tile-3,0.007931966,-0.001796164,-0.09227185,0.1233059,3,1
0.8,4,out-4-V,tile-4,-0.04273677,-0.004349052,0.7336441,0.1216622,1,2
0.8,5,out-5-V,tile-5,0.03163284,-0.03034597,0.01435261,0.5370219,2,2
0.8,6,out-6-V,tile-6,0.001134408,-0.001856353,-0.01339018,0.02231204,3,2
0.8,7,out-7-V,tile-7,0.1752724,-0.03061365,-0.3380395,-0.1810731,1,3
0.8,8,out-8-V,tile-8,0.2498237,-0.01181696,0.2140196,0.2045783,2,3
0.8,9,out-9-V,tile-9,0.0205297,-0.003373128,0.02267677,0.01833912,3,3
0.833333333333333,1,out-1-V,tile-1,-1.27508e-05,-0.0007079851,-0.2517211,-0.2543669,1,1
0.833333333333333,2,out-2-V,tile-2,-0.009780589,0.0001963357,-0.1913276,0.005419087,2,1
0.833333333333333,3,out-3-V,tile-3,-0.00399961,6.897363e-05,-0.09240517,0.1233082,3,1
0.833333333333333,4,out-4-V,tile-4,0.05901612,0.006849546,0.7356113,0.1218905,1,2
0.833333333333333,5,out-5-V,tile-5,0.01533073,-0.169278,0.01486364,0.5313793,2,2
0.833333333333333,6,out-6-V,tile-6,0,0,-0.01339018,0.02231204,3,2
0.833333333333333,7,out-7-V,tile-7,0.09060467,0.01756831,-0.3350194,-0.1804875,1,3
0.833333333333333,8,out-8-V,tile-8,0.2794722,0.01192439,0.2233353,0.2049758,2,3
0.833333333333333,9,out-9-V,tile-9,0.004675841,0.0004202017,0.02283263,0.01835313,3,3
0.866666666666667,1,out-1-V,tile-1,1.487565e-07,6.340298e-06,-0.2517211,-0.2543667,1,1
0.866666666666667,2,out-2-V,tile-2,0,0,-0.1913276,0.005419087,2,1
0.866666666666667,3,out-3-V,tile-3,0,0,-0.09240517,0.1233082,3,1
0.866666666666667,4,out-4-V,tile-4,-0.05019301,-0.03111473,0.7339382,0.1208533,1,2
0.866666666666667,5,out-5-V,tile-5,-0.04764176,-0.2119355,0.01327558,0.5243148,2,2
0.866666666666667,6,out-6-V,tile-6,0,0,-0.01339018,0.02231204,3,2
