CurrentTime,index,name,selectROI,Vx,Vy,row,col
0.466666666666667,5,out-5-V,tile-5,0.2028413,12.32318,2,2
0.466666666666667,6,out-6-V,tile-6,0,7.689483,3,2
0.466666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.466666666666667,8,out-8-V,tile-8,7.68949,0,2,3
0.466666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.5,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.5,2,out-2-V,tile-2,-7.689487,0,2,1
0.5,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.5,4,out-4-V,tile-4,0,-7.689483,1,2
0.5,5,out-5-V,tile-5,0.2028413,12.32318,2,2
0.5,6,out-6-V,tile-6,0,7.689483,3,2
0.5,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.5,8,out-8-V,tile-8,7.68949,0,2,3
0.5,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.533333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.533333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
0.533333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.533333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
0.533333333333333,5,out-5-V,tile-5,0.2035518,12.32318,2,2
0.533333333333333,6,out-6-V,tile-6,0,7.689483,3,2
0.533333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.533333333333333,8,out-8-V,tile-8,7.68949,0,2,3
0.533333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.566666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.566666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
0.566666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.566666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
0.566666666666667,5,out-5-V,tile-5,0.2726934,14.7755,2,2
0.566666666666667,6,out-6-V,tile-6,0,7.689483,3,2
0.566666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.566666666666667,8,out-8-V,tile-8,7.68949,0,2,3
0.566666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.6,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.6,2,out-2-V,tile-2,-7.689487,0,2,1
0.6,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.6,4,out-4-V,tile-4,0,-7.689483,1,2
0.6,5,out-5-V,tile-5,-0.004235923,5.922117,2,2
0.6,6,out-6-V,tile-6,0,7.689483,3,2
0.6,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.6,8,out-8-V,tile-8,7.68949,0,2,3
0.6,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.633333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.633333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
0.633333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.633333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
0.633333333333333,5,out-5-V,tile-5,-0.004235923,5.922117,2,2
0.633333333333333,6,out-6-V,tile-6,0,7.689483,3,2
0.633333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.633333333333333,8,out-8-V,tile-8,7.68949,0,2,3
0.633333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.666666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.666666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
0.666666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.666666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
0.666666666666667,5,out-5-V,tile-5,0.07256061,8.375435,2,2
0.666666666666667,6,out-6-V,tile-6,0,7.689483,3,2
0.666666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.666666666666667,8,out-8-V,tile-8,7.68949,0,2,3
0.666666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.7,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.7,2,out-2-V,tile-2,-7.689487,0,2,1
0.7,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.7,4,out-4-V,tile-4,0,-7.689483,1,2
0.7,5,out-5-V,tile-5,0.07237604,8.377433,2,2
0.7,6,out-6-V,tile-6,0,7.689483,3,2
0.7,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.7,8,out-8-V,tile-8,7.68949,0,2,3
0.7,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.733333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.733333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
0.733333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.733333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
0.733333333333333,5,out-5-V,tile-5,0.0713602,8.375784,2,2
0.733333333333333,6,out-6-V,tile-6,0,7.689483,3,2
0.733333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.733333333333333,8,out-8-V,tile-8,7.68949,0,2,3
0.733333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.766666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.766666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
0.766666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.766666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
0.766666666666667,5,out-5-V,tile-5,0.147914,10.82741,2,2
0.766666666666667,6,out-6-V,tile-6,0,7.689483,3,2
0.766666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.766666666666667,8,out-8-V,tile-8,7.68949,0,2,3
0.766666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.8,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.8,2,out-2-V,tile-2,-7.689487,0,2,1
0.8,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.8,4,out-4-V,tile-4,0,-7.689483,1,2
0.8,5,out-5-V,tile-5,0.147914,10.82741,2,2
0.8,6,out-6-V,tile-6,0,7.689483,3,2
