CurrentTime,index,name,selectROI,Vx,Vy,X,Y,active,row,col
0.566666666666667,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.566666666666667,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.566666666666667,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.6,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.6,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.6,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.6,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.6,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.6,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.6,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.6,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.6,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.6,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.633333333333333,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.633333333333333,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.633333333333333,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.633333333333333,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.633333333333333,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.633333333333333,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.633333333333333,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.633333333333333,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.633333333333333,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.633333333333333,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.666666666666667,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.666666666666667,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.666666666666667,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.666666666666667,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.666666666666667,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.666666666666667,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.666666666666667,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.666666666666667,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.666666666666667,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.666666666666667,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.7,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.7,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.7,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.7,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.7,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.7,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.7,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.7,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.7,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.7,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.733333333333333,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.733333333333333,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.733333333333333,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.733333333333333,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.733333333333333,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.733333333333333,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.733333333333333,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.733333333333333,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.733333333333333,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.733333333333333,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.766666666666667,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.766666666666667,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.766666666666667,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.766666666666667,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.766666666666667,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.766666666666667,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.766666666666667,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.766666666666667,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.766666666666667,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.766666666666667,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.8,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.8,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.8,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.8,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.8,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.8,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.8,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.8,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.8,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.8,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.833333333333333,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.833333333333333,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.833333333333333,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.833333333333333,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.833333333333333,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.833333333333333,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.833333333333333,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.833333333333333,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.833333333333333,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.833333333333333,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.866666666666667,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.866666666666667,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.866666666666667,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.866666666666667,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.866666666666667,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.866666666666667,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.866666666666667,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.866666666666667,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.866666666666667,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.866666666666667,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.9,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.9,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
